Species,Culmen_Length_mm,Culmen_Depth_mm,Flipper_Length_mm,Body_Mass_g,Island_Biscoe,Island_Dream,Island_Torgersen,Sex_FEMALE,Sex_MALE
Gentoo,44.1,16.0,226.8,6641.0,True,False,False,False,True
Gentoo,48.6,16.3,211.3,4946.0,True,False,False,False,True
Adelie,39.2,19.0,194.8,4149.0,False,False,True,False,True
Adelie,35.3,17.2,195.3,3155.0,False,True,False,True,False
Chinstrap,49.4,17.3,190.0,3664.0,False,True,False,False,True
Gentoo,51.8,15.9,227.7,4814.0,True,False,False,True,False
Gentoo,46.7,17.1,203.3,4898.0,True,False,False,False,True
Adelie,39.1,18.1,190.1,3810.0,False,True,False,True,False
Chinstrap,52.3,19.1,186.8,3758.0,False,True,False,True,False
Adelie,37.8,17.4,195.0,4207.0,False,False,True,False,True
Gentoo,48.0,15.2,222.7,5095.0,True,False,False,True,False
Chinstrap,43.9,17.9,205.9,4012.0,False,True,False,False,True
Adelie,36.2,16.3,202.3,3184.0,True,False,False,True,False
Adelie,32.8,17.7,173.2,3931.0,True,False,False,False,True
Gentoo,48.1,14.0,221.4,5235.0,True,False,False,True,False
Gentoo,45.1,14.1,206.8,5875.0,True,False,False,True,False
Gentoo,43.5,15.4,222.5,5792.0,True,False,False,True,False
Adelie,44.9,18.5,199.0,3457.0,False,True,False,True,False
Adelie,35.6,17.8,190.9,3408.0,False,False,True,True,False
Adelie,44.1,19.2,184.1,4355.0,False,True,False,False,True
Adelie,39.2,17.8,192.9,3789.0,False,True,False,True,False
Chinstrap,50.5,17.1,197.4,3432.0,False,True,False,True,False
Gentoo,50.9,14.1,215.8,4747.0,True,False,False,True,False
Adelie,37.8,20.8,188.2,3864.0,False,False,True,False,True
Chinstrap,48.3,18.3,195.0,3484.0,False,True,False,True,False
Chinstrap,54.1,17.3,195.6,3359.0,False,True,False,True,False
Chinstrap,49.2,18.7,196.0,3076.0,False,True,False,True,False
Gentoo,49.8,16.2,212.7,4893.0,True,False,False,False,True
Adelie,40.2,19.1,179.6,3515.0,False,False,True,False,True
Gentoo,52.1,14.4,218.4,4785.0,True,False,False,True,False
Gentoo,45.6,15.4,219.3,5520.0,True,False,False,False,True
Chinstrap,45.0,20.0,196.5,3666.0,False,True,False,True,False
Gentoo,47.5,15.9,228.4,4650.0,True,False,False,False,True
Chinstrap,53.9,18.8,195.5,4012.0,False,True,False,False,True
Gentoo,45.6,15.8,228.6,6307.0,True,False,False,True,False
Adelie,42.9,17.6,180.6,3987.0,False,False,True,True,False
Gentoo,48.4,13.6,223.3,4805.0,True,False,False,False,True
Adelie,41.6,17.4,190.4,4199.0,False,False,True,False,True
Adelie,38.4,15.4,180.5,4012.0,False,False,True,False,True
Adelie,41.1,16.2,188.7,4225.0,False,True,False,True,False
Adelie,36.0,18.2,182.7,3989.0,False,True,False,True,False
Gentoo,44.9,16.0,211.0,5153.0,True,False,False,False,True
Adelie,36.2,18.3,183.7,2479.0,False,True,False,True,False
Adelie,38.0,18.3,185.5,3687.0,True,False,False,False,True
Adelie,42.7,18.9,183.7,3711.0,False,True,False,True,False
Chinstrap,50.9,19.2,195.8,4012.0,False,True,False,True,False
Gentoo,44.1,13.7,220.0,5807.0,True,False,False,True,False
Adelie,38.3,17.4,196.8,4445.0,True,False,False,True,False
Gentoo,48.9,13.6,216.7,5274.0,True,False,False,True,False
Gentoo,41.3,14.8,212.5,4012.0,True,False,False,False,True
Gentoo,47.7,15.1,220.6,4984.0,True,False,False,True,False
Gentoo,44.7,13.9,207.8,5341.0,True,False,False,True,False
Gentoo,47.5,15.5,208.6,4984.0,True,False,False,False,True
Adelie,41.9,18.1,187.6,3119.0,False,False,True,False,True
Gentoo,48.0,14.7,219.1,4582.0,True,False,False,False,True
Adelie,40.1,20.2,179.9,4000.0,False,False,True,True,False
Chinstrap,48.0,19.8,191.1,4012.0,False,True,False,False,True
Chinstrap,48.7,17.5,200.4,3996.0,False,True,False,True,False
Gentoo,47.5,15.9,206.4,6332.0,True,False,False,True,False
Adelie,44.0,20.8,193.6,4012.0,False,True,False,True,False
Adelie,39.2,17.5,184.6,4007.0,True,False,False,True,False
Gentoo,49.3,15.5,224.3,4491.0,True,False,False,False,True
Gentoo,44.0,16.5,219.1,4949.0,True,False,False,False,True
Chinstrap,45.4,16.7,190.3,3574.0,False,True,False,True,False
Chinstrap,45.3,18.0,196.3,3394.0,False,True,False,False,True
Adelie,34.5,16.3,188.8,3453.0,True,False,False,False,True
Adelie,36.5,19.2,186.2,3623.0,False,True,False,True,False
Chinstrap,48.0,19.9,204.1,3405.0,False,True,False,True,False
Gentoo,46.9,15.4,217.1,5625.0,True,False,False,True,False
Adelie,36.0,18.3,185.8,4368.0,False,False,True,False,True
Adelie,39.9,18.0,190.7,3907.0,False,False,True,True,False
Adelie,40.4,19.1,193.2,3644.0,False,True,False,True,False
Adelie,41.8,17.9,192.8,4239.0,False,True,False,False,True
Gentoo,44.8,15.1,221.8,4695.0,True,False,False,True,False
Adelie,37.4,18.3,190.7,3191.0,False,False,True,False,True
Gentoo,49.3,15.9,218.9,5246.0,True,False,False,False,True
Chinstrap,51.9,18.4,195.4,3931.0,False,True,False,False,True
Gentoo,46.6,14.0,232.1,5022.0,True,False,False,True,False
Chinstrap,50.9,19.2,201.8,4016.0,False,True,False,False,True
Gentoo,47.3,16.2,223.7,5349.0,True,False,False,False,True
Adelie,38.6,15.2,198.2,4263.0,False,True,False,True,False
Adelie,39.3,18.8,186.7,3715.0,False,False,True,False,True
Chinstrap,51.4,18.9,191.6,3332.0,False,True,False,True,False
Chinstrap,48.0,19.9,210.5,3688.0,False,True,False,False,True
Gentoo,53.0,14.6,222.2,5612.0,True,False,False,False,True
Adelie,40.3,18.0,191.1,4177.0,False,True,False,True,False
Adelie,40.2,19.8,195.5,3540.0,False,True,False,True,False
Chinstrap,47.5,19.3,211.4,4104.0,False,True,False,True,False
Gentoo,46.6,13.9,221.3,5302.0,True,False,False,True,False
Chinstrap,44.0,19.1,196.3,3588.0,False,True,False,False,True
Adelie,37.5,18.0,188.6,3660.0,False,False,True,False,True
Adelie,39.1,16.2,195.0,3072.0,False,True,False,True,False
Adelie,40.2,18.0,189.2,3848.0,False,False,True,True,False
Adelie,36.1,17.1,193.2,3546.0,True,False,False,True,False
Chinstrap,55.2,18.4,202.5,3599.0,False,True,False,True,False
Gentoo,48.4,15.8,210.6,5248.0,True,False,False,True,False
Gentoo,50.7,16.3,209.7,4678.0,True,False,False,False,True
Adelie,39.5,17.0,190.8,3777.0,False,False,True,True,False
Adelie,38.6,20.4,175.4,3788.0,True,False,False,True,False
Adelie,38.9,16.2,190.4,3827.0,True,False,False,True,False
Chinstrap,45.4,18.2,184.1,3888.0,False,True,False,False,True
Gentoo,44.0,13.3,217.9,5098.0,True,False,False,False,True
Gentoo,45.4,15.3,224.0,5865.0,True,False,False,False,True
Gentoo,44.7,17.0,212.1,5522.0,True,False,False,False,True
Gentoo,46.3,15.7,226.6,3767.0,True,False,False,False,True
Chinstrap,48.0,19.0,200.5,4182.0,False,True,False,False,True
Adelie,39.1,19.2,184.4,4012.0,True,False,False,False,True
Adelie,39.7,18.7,193.1,3009.0,False,False,True,True,False
Chinstrap,47.6,17.5,193.3,3822.0,False,True,False,False,True
Gentoo,50.1,15.9,217.6,4956.0,True,False,False,True,False
Gentoo,48.2,13.7,205.9,4351.0,True,False,False,True,False
Chinstrap,53.3,18.2,199.6,3986.0,False,True,False,True,False
Adelie,39.8,18.6,198.3,2608.0,False,True,False,True,False
Adelie,39.1,18.8,182.1,3483.0,False,True,False,False,True
Adelie,38.8,16.1,185.7,2842.0,False,False,True,True,False
Chinstrap,46.7,17.5,193.0,3870.0,False,True,False,False,True
Chinstrap,50.9,19.5,188.7,4012.0,False,True,False,True,False
Gentoo,50.2,16.2,216.4,5067.0,True,False,False,False,True
Adelie,43.1,19.5,185.5,3774.0,False,True,False,False,True
Adelie,42.1,18.8,200.6,3570.0,True,False,False,False,True
Adelie,39.2,18.2,183.4,3727.0,False,False,True,False,True
Adelie,38.5,19.3,189.3,3527.0,False,False,True,True,False
Chinstrap,47.3,16.8,205.5,4012.0,False,True,False,True,False
Adelie,37.9,18.4,190.6,3371.0,False,True,False,False,True
Adelie,39.1,17.7,187.8,4160.0,False,True,False,True,False
Gentoo,44.0,14.7,210.5,5677.0,True,False,False,True,False
